group_id_text	group_name	group_type	group_keyword	group_members	group_description
larg_bone_girls	larg bone girls	 Private 	 Women's Health 	1	for those girls who want to talk about the big or protruding bones in thire bodies..............please share us
kmo2626_s_social_forum__	kmo2626's Social Forum..	 Private 	 Diabetes 	2	Social forum.
knee_pain_	Knee pain?	Public	 Pain 	7	I woke up a couple weeks ago, and I had some pain in my right knee that made it hard for me to bend it. It escaladed to the point where if I straighten it or at least try to it kills me as well as bending it and putting pressure on it by kneeling on it. I have a past of rheumatoid arthritis but I don't know if this would have to do with my knee or it go on everyday for the past few weeks. A lot of forums say I tore my miniscus but I don't think a person can do that in their sleep.. Can someone please tell me what they think it might be?
law_suit_induced_stress_and_anxiety	Law Suit Induced Stress and Anxiety	Public	 Mental/Emotional Health 	1	Stressed out about the slow, complicated and expensive legal process with undeterminable outcomes.
lsquare108	Lsquare108	Public	 Neurology 	1	Looking for treatment options for pain associated with cerebral degeneration.
loving_a_angry_child	Loving a angry child	Public	 Children's Health 	21	I am starting this group to find others like me... I am a mother of 2 beautiful boys. My first born child is a smart boy, everyone loves him... He is great with animals, he loves art, and legos.  He is great, until he becomes upset.  His violent/angry behavior started at 4 1/2.  I have tried so many things...  I have made mistakes, regrouped, tried new things...  My husband pointed out to me the other day "It is sad that a good day to you is one in which your child has not hit you".  I would like to hear stories; success, struggles, suggestions...  Very few people have ever seen this side of him.  Two different women whom I spent time in my home with.  I rarely let people visit because of fear of his behavior. He has now struck one of my friends--  His teachers never believe he is capable of such behavior. His grandparents know him to be difficult but not violent. He has started getting very rough with his brother, though his rages are generally directed at me.  I live on my own with them, except the weekends when my husband comes home. It makes for a lonely existance.  I am working on a degree in human services, to go on to Child Psychology (pretty sure).  I just wish I could understand more of what is happening in my own home.  I'd like to talk to more people like me-  (I realize I should have wrote "an angry child" but cannot fix it now... )
madhavipasumarthy	madhavipasumarthy	Public	 Heart 	1	Home maker with two children. Husband diagnosed with viral myocarditis, hypertensive and diabetic.
MGhandehari	M-Ghandehari	Public	 Ear, Nose, Throat 	1	I'm an optometrist, primary eye care specialist in Shiraz-Iran. My interests are  Tennis, Mountain and  Semi professional  photography
lovers_want_to_consive_boy_____	lovers want to consive boy.....	Public	 Pregnancy 	5	how to get male in pregnancy feel free to join let us know of your experienses of  love sex or when yu consive boy or girl what may bring yu to fertilest position and etc.....
low_progesterone	Low Progesterone	Public	 Women's Health 	38	After seeing millions of postings on Medhelp and elsewhere about women having low progesterone, many having one or more miscarriages as a result, I thought there should really be a group focused on low progesterone. Whether it's before conceiving, while TTC, or in early pregnancy or later, this problem affects untold numbers of women. I hope this group can be a place for sharing information regarding treatments and supporting each other through this difficult situation.
love_and_life	love and life	Public	 MedHelp General 	19	any one who needs incouragement,and or just some one to talk to!!! just open up and talk no one judges any one no one tells you you are wrong, there is love laughter and maybe a tear or two!!! so come on over and join me you never know you could be laughing all night or just be inspired.. God speed.
maken_children	Maken children	Public	 Diabetes 	1	YOUNg women lets discuss everything about the (Bby maken)
love	love	Public	 MedHelp General 	3	we can share our ideas about sth/sb you love...!!!!!!!!
march_2011_babies	March 2011 Babies	Public	 Pregnancy 	64	This is the place to ask questions, post information, and share stories and support with other women due in March 2011. Congrats on your pregnancy!
magnesium_and_your_health	Magnesium And Your Health	Public	 Healthy Living 	7	Please delete board.
lyme_disease	Lyme Disease	Public	 General Health 	14	Let talk about Lyme disease.  It is epidemic everywhere in the US and is also worldwide.  The tests for Lyme disease are estimated to be only 40-60% accurate in detecting Lyme.  What about the co-infections with Lyme.  Those are just as painful.  I also want to advocate for children with Lyme in Schools.  What schools have actually adapted and changed their School Policy to give these students more rights to a workable education (IEP, 504).?
love_moon_or_lala_moon_sanitary_napkin_lovers_	Love Moon or Lala Moon sanitary napkin lovers!	Public	 Women's Health 	1	This group is for all who`s using Love Moon Anion Sanitary Napkin<---really AMAZING!
lovelife_advice	LOVELIFE ADVICE	Public	 Diabetes 	3	Problems about love and life..
lupus__fibro__antiphosphpolipid_antibody_syndrome_and_other_autoimmune_life_stoppers	Lupus, Fibro, Antiphosphpolipid Antibody Syndrome and other Autoimmune Life Stoppers	Public	 Autoimmune 	58	Have autoimmune diseases such as Lupus, Antiphoshpolipid Antibody Syndrome, Fibromyalgia, Reynauds, and others seemed to have stopped your life in its tracks? Do you just need an outlet? Would you like to share your story or draw on the experiences of others? This is the place for you.  No negativity will be tolerated. Only support, respect, and healing found here.
males_with_bpd	Males with BPD	Public	 Mental/Emotional Health 	4	BPD is rare in males. Is it? From what we understand, there are no proven clinical results for males with BPD and in fact, past and current research on male BPD has been neglected if not ignored by the psychological community at large. Some research has even dared to eliminate males from its findings. Gender comparisons to BPD as been constantly divided, pointing to some ugly generalizations such as domestic violence, sex offenders and a majority of prison inmates upon the BPD male, thus dividing gender-based distinctions. Our goal for is to enlighten, educate and discover why BPD is rare in males and to solicit the global mental health community to permit more research on males with BPD.Find us on Face Book at https://www.facebook.com/pages/BPD-Males/173062222744287
male_issues	MaleIssues	 Private 	 Diabetes 	4	This is a test group exploring the mailing functionality of user groups on this site.
mama_s_with_smartphones	Mama's with Smartphones	Public	 MedHelp General 	1	This group is just for fun! Feel free to talk about your Smartphones and advice you may need on it.
maladaptive_daydreaming	Maladaptive Daydreaming	Public	 Mental/Emotional Health 	3	A support group for people who daydream their lives away.
loss_of_a_baby	Loss of a baby	Public	 Women's Health 	1	This is for people who have had a loss of a baby in the womb or outside of the womb.
man_exam	Man Exam	Public	 Cancer 	2	The Testicular Cancer Fight, is Black & White: Early Detection = Increased Chance of SurvivalTesticular cancer is one of the most curable cancers â if caught early enough. Doing the monthly self-exam can increase your chance of survival. ManExamâ¢ Coalition for Testicular Cancer Awareness is a non-profit 501(c)(3) organization committed to making sure that men between the ages of 15 and 50 know the symptoms, and know the âman exam.â Please take a few minutes and learn the exam. And remember to forward this site to family and friends around the globe. Together, we can spread the message and help save an entire generation of men.
losing_weight_while_ttc	Losing weight while TTC	Public	 Pregnancy 	23	I think itâs very important to be at a healthy weight when trying to conceive.  It not only increases your chances of conceiving but prepares you for a healthier pregnancy. I am starting this support group for not only those that are trying to win the baby bingo, but also are trying to go in the right direction in the healthy department. Maybe you donât need to lose weight, but just need to start exercising more or to be a healthier you. This would be the group for you.
lose_a_100__pounds_and_still_live_your_life	Lose a 100+ pounds and still live your life	Public	 MedHelp General 	5	The main purpose of this group is about sharing ideas and tips on weight loss with each other, as well as sharing anything and everything related to weight loss, healthy-eating and exercise; realising and achieving your dreamsThe other point is to try and determine what works for each one of us, and it has to be easily manageable for an entire lifetime without pressure or strain. The group is also about inspiring and motivating ourselves to push boundaries, not in weight loss only, but also in life. If you wait until you're thin before you can live your life to the fullest, then you may never get the chance to live. Start living now! Forget the stress, the self-hatred and the lack of confidence; live and appreciate being alive. Take a bite at one of your "unrealistic" dreams, and maybe just the taste itself will inspire to chase after it. Get out of your "comfort zone cage" and take a moment to live completely. Learn about yourself, understand your body, know how food makes you feel and use what feels good. Don't allow the fabric of life burn you into complete shyness... you're not made of "flammable" paper, you're made of much sterner stuff!!! And while you're at it, break out of the cage that your weight has locked you in... Claim your freedom with a team of people who understand exactly what it is you're going through
major_depressive_disorder__major_anxiety__	Major Depressive Disorder/ Major Anxiety  	Public	 Mental/Emotional Health 	1	need to chat with someone with the same problem.  It seems to be getting worse.  on Cymbalta.  I'm 51 and currently a student.
loss_of_sense_and_smell	loss of sense and smell	Public	 Neurology 	1	I am looking for people that have lost their sense of taste and smell i cant find support anywhere and i need help i have been without since last december and i just need to know i am not alone
photographers	Medhelp Photographers	Public	 MedHelp General 	38	To join, you don't need to have photography experience or a fancy camera. All you need is a camera and the joy of taking pictures.
medhelp_gardeners	Medhelp Gardeners	Public	 MedHelp General 	31	Whether it be a single container garden or a huge backyard garden, you're free to come and share your gardening experiences with other members, get help, and just have fun. This also includes houseplants. Need help with a troublesome houseplant? Here's the place to discuss with other members and get help. All we ask is that you please keep all discussions appropriate for general audiences and safe for work, family, etc.
migraineurs_support	Migraineurs Support	Public	 Neurology 	189	A place for migraineurs to discuss anything and everything related to migraines. Topic suggestions:Think of this as a support group for migraineurs. Reach out to group members when ever you need support. Give your support to fellow migraineurs. You, as a migraineur yourself, probably have a wealth of knowledge to share with others. The knowledge that you have could vastly improve the quality of life for another group member. Share share share!Discuss your current acute and preventative treatment plans. Ask others about their current acute and preventative treatment plans. Discuss past acute and preventative treatment plans as well... we can always learn something from what didn't work! Discuss your own personal tips and tricks for lessening the severity of acute migraine attacks. Post about your upcoming GP or Neurologist appointments. Ask other group members questions about what to expect and suggestions on how to prepare. Update fellow group members on your progress... both on set backs (so that we can provide support, suggestions and hope!) and on successes (so that we can congratulate you and so that you can provide other group members with hope!).
medical_marajuana	Medical Marajuana	Public	 Alternative Medicine 	32	A discussion about the benefits of marajuana and other home remediesA discussion about legal matters, self help, political will, anything goes!  The whole Pharma system has been warped by the almighty $$, Marajuana is cheap compared to Pharma!
micropreemies_	micropreemies 	Public	 Children's Health 	2	Parents of Babies who were born before 26 weeks gestation and the joys and issues of raising them.
midlife_crisis	Midlife Crisis	Public	 Sexual Health 	30	A place where people can come to discuss their experience with midlife crisis.  Support and words of wisdom for the spouse that is not in crisis, what is going on in the head of the spouse who is in crisis, how each party can best handle it, what works and does not work.
mental_health_chats	mental health chats	Public	 Mental/Emotional Health 	321	I noticed there are many groups for each illness. So I thought of an idea to have a group where we can talk about many different mental illnesses, share our stories, suport each other, and hopefully make friends. Anyone is welcome who has a mental illness or knows someone who does or is just interested in this discussion. Topics covered include depression, anxiety, bipolar, autism, schitzophrania, and ect. So feel free to mintion other mental or emotional problems that arn't listed too.
mexicanas_de_28___	MEXICANAS DE 28...	Public	 Diabetes 	3	.
migraine_support__visual	Migraine Support (Visual)	Public	 Pain 	7	This is a group for any people who have been experiencing Visual Migraines, such as ocular or PMA (Persistent Migraine  Aura) ones.
medical_tourism_in_india	Medical Tourism in India	Public	 MedHelp General 	2	Medical tourism is basically a practice of going abroad to obtain health care services.There are so many benefits of going abroad from the native country to obtain health services such as lower prices, less wait times and new technological improvements. Many countries are able to offer complete travel packages including airfare, transfers, surgery costs and even post-operative vacation care.Medical and Health Care services in India now are really improved a lot while having a large no. of Hospitals with latest technology equipments.A medical vacation allows you to bring friends and family, provide some post-operative rest and relaxation, often a very high quality of service and care in luxurious accommodations.India has many corporately owned hospitals that do not have the overcrowding issues that many public hospitals have. India's Artemis health Institute performs many operations a year and holds a mortality rate that is less than half that of many U.S. and European hospitals.Now the question arises is that how to promote medical tourism in India?If someone has any idea about how we can promote medical tourism in India please let that apply.Thanks
mexicanas_al_grito_de_un_bebe______	MEXICANAS AL GRITO DE UN BEBE!!!!! 	Public	 Pregnancy 	1	HOLA! ALGUIEN DE MEXICO ? O ALGUIEN DE 28 DIAS QUE SIGA VIGENTE POR AQUI? QUE SIGAN EN BUSQUEDA DE SU BABY? BUENO ESPERO ALGUNAS SE ACUERDEN DE MI =( JA! ME FUI CASI DOS MESES POR QUE ME DIO EL BAJON CAÃON PERO AQUI ESTOY DE NUEVO! MMMM OJALA PODAMOS IR PLATICANDO POR AQUI VALE? LAS QUIERO Y VAMOS QUE LO CONSEGUIREMOS TARDE O TEMPRANO OK!
medical_tourism_india	Medical Tourism India	Public	 Healthy Living 	2	Medical Tourism India â Heel Wheel India - is a medical tourism facilitator Provides List of hospitals in India, Treatment Tours for Hip Surgery, Plastic Surgery, Obesity Surgery Cosmetics Surgery in India and Overseas Health Care Services
may_2011_babies	May 2011 babies	Public	 Pregnancy 	58	This is the group for all those wonderful ladies who are due in may 2011..
medical_bills___illness___ugly_combination	Medical Bills & Illness...Ugly Combination	Public	 General Health 	5	It's hard enough trying to FIGHT an ILLNESS. When you get hit with OUTRAGEOUS medical bills on top of it...it can be MORE than DEVASTATING.My husband and I have LOST and STARTED OVER more times than I care to admit because of my medical bills.This group is for YOU to be able to VENT about the effects of medical bills on YOUR LIFE. I also hope that information can be shared about programs out there for THOSE who do NOT have medical insurance OR could use help with some kind of SUPPLEMENTAL insurance. There are also PRESCRIPTION programs out there I intend to DISCUSS in the near future.Feel free to post any programs that you are aware of, that can help with PRESCRIPTION and or MEDICAL ASSISTANCE.  :)I hope that this forum allows people to meet OTHER individuals in SIMILAR circumstances. Times are getting even tougher and it HELPS to be able to TALK about it to somebody.PLEASE keep POLITICAL debates or HEATED discussion for GROUPS that have been ESTABLISH for such CONTENT. This FORUM was NOT set up for POLITCAL debate, nor to be USED as a POLITICAL platform, BUT for MORALE support. This site does NOT allow PROFANITY(unless in use of describing an emotion)NOR does it allow BASHING,  MEAN, RUDE OR HARMFUL comments toward another individual. Any comments of such nature will be REPORTED and REMOVED.
men_s_club	men's club	Public	 Sexual Health 	32	Welcome to  club for men !
march_fet	March FET	Public	 Women's Health 	2	Anyone doing a FET March 2011?
relaxation	meditation	Public	 Diabetes 	2	if you need to be realived of stress come here
mental_emotional_health	Mental/Emotional Health	Public	 Mental/Emotional Health 	16	If your feeling down and need a little pick me up, want advice or just want to talk this is the place to come.
mechanical_heart_valve_	Mechanical Heart Valve 	Public	 Heart 	1	Have you had a mechanical heart valve inserted? How are you doing with the change in life? Was it mechanical or live tissue (pig valve) How are you dealing with being on Coumadin/ warfarin.. any questions or support and how you are doing would be a great way to compare the "zipper" stories
medical_billing_and_transcription	Medical Billing and Transcription	Public	 MedHelp General 	2	Group for Medical Billing and Transcription professionals.
march2011moms	March 2011 Moms - Baby's First Year	 Private 	 Pregnancy 	10	This is the place to stay in touch with members of the March 2011 Babies group, now that our little ones have arrived!
march_2012_babies	March 2012 Babies	Public	 Women's Health 	9	A place to discuss your pregnancy with other moms who are due around the same time.
may_june_2012_due_date	May/June 2012 Due Date	Public	 Pregnancy 	1	This group is for the ladies that are due date between may 1st 2012 and june 30 2012. Everyone is welcome to join and post.
mature_singles_with_cronic_illness	mature singles with cronic illness	Public	 MedHelp General 	1	As I approach my mature years and also living with cronic illness I ask myself, Am I alone because I feel I have nothing to "give" ....I've done alot of soul searching and found I have to accept I can not do most of the physical activities I once did.. but found others in place .. my ex left me , he just didn't understand .. I don't want to be alone , I looked for a singles group here I was surprised there wasn't one.. wondering if anyone feels the same.
methadone_the_unknown	METHADONE THE UNKNOWN	Public	 Addiction 	1	WITHDRAWLS ,DETOX HOW LONG
msk__medullary_sponge_kidney_disease_	MSK (Medullary Sponge Kidney Disease)	Public	 Urology 	30	This patient Support Group is for discussions relating to MSK (Medullary Sponge Kidney Disease).  If you or somebody you know suffers from MSK, you've come to the right place to give, get, & share advice about this oftentimes painful, uncommon disease.   WELCOME to our GROUP ~ We're Here to Help!
military_spouses_and_family_support_group_	Military Spouses and Family Support group.	Public	 MedHelp General 	25	Welcome! This is a group for any family, friends, or spouses of anyone in any military. My husband is in the canadian army. I know what its like to be lonely, worried, and sad. I am here to personally help you with whatever you are going through and feeling. But lets all help each other as well. Questions, concerns, cooping with deployment, loss, postings, or just want to share how you feel at this time, feel free to. Remember this is a military support site, if you do not support the war or our soldiers and their families, please do not express it here. We do not need the moral of our soldiers to do down. Comforting words only. Remember that you might not understand what its like for some of our members so please be respectful. Lets share stories and keep our heads up when our soldiers are fighting for us.Thank you, Lucey.
munchausen_syndrome_by_proxy	Munchausen Syndrome by Proxy	Public	 Mental/Emotional Health 	2	A rare condition, often found in family units where a parent is a health care professional (Nurse, etc).  The HCP either craves the attention or has phobias/manias of desease, illness, etc dragging their kids (even healthy) to a Dr. or hospital for unneeded tests and treatments. Often it shows up in those who are Hypochondriacs and cannot get the attention they need/crave/believe they deserve for themselves any longer, so they use their kid(s) to receive the attention instead.
military_wives	Military Wives	Public	 MedHelp General 	22	This is forum is for military wives of all branches in any country. It's for us all to vent, talk about our everyday lives and the things we deal with, to just to meet others in similar situations, and anything else we feel like talking about. I have learned over the last few years that being in the military is like having a very large extended family. We can help each other and give each other support, through deployments, hardships, family life, and raising children. Again I welcome you, and send out a special thank you to all those who are serving!
morphea_skin_disease	morphea skin disease	Public	 Dermatology 	5	people who have this condition and how they have handled it
multiple_system_atrophy	multiple system atrophy	Public	 General Health 	5	It is a neurological disease that takes your ability to eat ,drink,talk,walk and move because it attacks all systems of the body.It also stiffens your mucsles and robs you of the ability to move.It has a life expectancy of five to ten years after diagnosis.
native_american_canadian_circle	Native American/Canadian Circle	Public	 MedHelp General 	17	This forum is about anything that is Native American/Canadian.  It can be about healing, language, humor - anything.  You don't have to be Native to join.
multiples_mommas	Multiples mommas	Public	 Children's Health 	24	A group for mom's who have the joy of raising twins, triplets, quads, quints, sextuplets and more. Come share your stories, vent about daily life raising your multiples (and their siblings if there are any), share ideas and enjoy some mommy time!
music_lovers	Music Lovers	Public	 MedHelp General 	42	This is a group for those who love any kind of music.
moving_on_up_	Moving on Up!	Public	 Mental/Emotional Health 	7	This group is dedicated to Personal Development. We will discuss the various forms on theories on Personal Development, and general wellbeing. This is also a place to share motivational techniques, positive affirmations.
nascar	Nascar	Public	 MedHelp General 	1	Fans of Nascar
moms_wives_who_need_want_help_____	Moms Wives who need want help.....	Public	 Addiction 	9	mothers married women who are addicted to pills and want need help
my_husband_has_lost_interest	my husband has lost interest	Public	 Sexual Health 	1	anyone going through this i would like to hear how you deal with this issue
mitochondrial_disorders	Mitochondrial Disorders	Public	 Rare Diseases 	13	I wanted to start this group for anyone out there who may have been diagnosed with a mitochondrial disorder also. Or maybe just letting people know what this disease is about. It is still just getting known in the medical community so you may have to bring it up to your doctor if you think this sounds like something you have been going through. MITOCHONDRIAL DESCRIPTIONMitochondria are small energy-producing structures found in every cell in the body. They serve as the cells' power plants (responsible for the body's energy production, converting food into energy). It's kind of like having a brown out in your body. Mitochondrial diseases result from failures of the mitochondria, specialized compartments present in almost every cell of the body. They are responsible for creating more than 90 percent of the energy needed by the body to sustain life and support growth. The mitochondria are composed of tiny packages of enzymes that speed chemical reaction. These enzymes play an essential role in turning nutrients into energy: they are linked in the electron transport chain (ETC), also known as the respiratory chain, which creates ATP (cellular energy) through a process called oxidative phosphorylation. The respiratory chain is the final step in the energy making process in the mitochondrion where most of the ATP is generated. The mitochondrial enzymes (also known as complexes I, II, III and IV) are needed to generate the electron and proton gradient that is utilized by complex V to generate ATP. Defects in any of the enzymes could cause a mitochondrial disease. When mitochondria fail, less and less energy is generated within the cell. When this happens, cell injury and even cell death follow. If this process is repeated on a large scale throughout the body, whole systems begin to fail, and the life of the person in whom this is happening is compromised, changed or even ended. Currently there are no known cures. The treatments that are available are limited. Most treatments and medications address only symptoms of the mitochondrial disorder, not the disorder itself. Mitochondrial diseases are extremely complex; due to this complexity the severity of these diseases is unpredictable, and the range of symptoms is diverse. Symptoms may present unexpectedly at any age or they may be evident from birth or infancy. The presentation of symptoms depends upon which organs or systems are most affected by the malfunctioning mitochondria. Diseases of the mitochondria cause the most damage to cells of organs and systems that require a great deal of energy: the brain, the heart, the skeletal muscles, the kidney, liver and the endocrine and respiratory systems. The symptoms that I deal with most frequently are Fatigue, Exercise intolerance, Loss of motor control and balance, Muscle weakness, cramps, stiffness and/or spasms, Gastro intestinal disorders, Respiratory complications, Unstable body temperature, Migraine headaches, Visual/Hearing problems, chronically lowered immune system and susceptibility to infection. Add in high mental stress or extremely cold or hot weather and I suffer with seizures or stroke like episodes. I only have so much energy available on a daily basis. Some days I feel okay for part of the day. Some days I get tired just getting ready for the day. I still have to watch how much I do when I do have energy because it does not last long and overdoing will cause me to âCrashâ for days or weeks. When I am in a âCrashâ, I can barely walk from room to room.  The only thing to do to start getting over this is to rest. My doctor said when my eyes no longer focus, thatâs the sign it is time to quit what I am doing and go rest. It's hard to plan ahead since I do not know how I am going to feel from day to day. I was diagnosed in 1999. It has been a long journey so far, and who knows what life lays ahead. But I deal with it day to day. Joyful
mthfr	MTHFR (Methylenetetrahydrofolate reductase)	Public	 Genetics 	62	This Group was created for anyone wishing to learn, chat or share information relating to MTHFR.Many woman have suffered Miscarriage(s) and have no idea why.  For some of us, a genetic mutation called MTHFR is the reason.  MTHFR (or 5,10-methylenetetrahydrofolate reductase NADPH) is a genetic mutation that has 24 known variants that affects the ability to absorb Folic Acid and can cause more severe problems in health and also in pregnancy.  There is much debate and dispute within the medical community regarding MTHFR and it's relationship to pregnancy loss or Recurrent Pregnancy Loss (RPL).  In all the confusion, there are many ideas and treatments along with schools of thought on how to treat or deal with MTHFR.
musicians_dealing_with_addiction_____how_to_stay_in_the_game____and_stay_sober	Musicians Dealing With Addiction.... How To Stay In The Game... and stay SOBER	Public	 Addiction 	8	I thought we could use a GROUP that deals with the specific problems MUSICIANS and people in the Music Business have to face.... Lets be REAL.... To be a "Sober" Musician IS NOT AN EASY TASK......
muslim	Muslim	Public	 MedHelp General 	2	This is a Muslim oreiented group I'm sure there's Muslim members here.
mirena_iud_T	Mirena IUD	Public	 Women's Health 	6	Users that recently got it and have had it for a while.Users that use to have it and got it removed are welcome to join as well. I'd like to have a group where everyone can share their input.**ADVICE, QUESTIONS, THOUGHTS, CONCERNS**
mommy_weight_loss_challenge	Mommy Weight Loss Challenge	Public	 Pregnancy 	22	This group helps supports postpartum moms get back in shape after childbirth.  Whether you are going to be giving birth in the next few months or you already have given birth, let us help support your weight-loss goals with tips, videos, diet plans, and exercise.  Join us for our weekly weigh-ins and fun-loving mom support.
music_a_natural_healer	Music a natural healer	Public	 Mental/Emotional Health 	1	I know music helps me a lot and Im hoping it will do the same thing for you.. To me the brain and and  the soul is connected and can fix them both and all kind of other thing. JImhttp://www.youtube.com/watch?v=dm6qw_yeo6o&feature;=BFa&list;=PL430F49F7695FD634&lf;=plpp_video
mystery_illness	mystery illness	Public	 Neurology 	2	Welcome to the  Mystery illness Group. Courage to care couage to talk courage to love life and laughter.The unknown illness it ofen leads to drmataic changes in personality and behavior without altering physical appearance it effect everyone and the person who has the unknow illness .The great mind knows the power of gentleness and power with in you
motor_neuron_disease	Motor Neuron Disease	Public	 Neurology 	1	A forum to discuss about Motor Neuron Disease
mytearsarereal	MyTearsAreReal	Public	 Mental/Emotional Health 	2	We are a Cardiff based support forum.
mystery_pain	mystery pain	Public	 Pain 	1	For those who suffer in silence, for those who have seen many doctors and can't get a straight answer as to why you are suffering - Please share your stories with me as I will share mine with you.
ms_be_gone	MS Be Gone	Public	 Autoimmune 	1	A forum to share successful treatments  to relieve symptoms and ultimately to wipe out MS.
new_treatments_in_development	New Treatments in Development	Public	 Mental/Emotional Health 	39	This group is to discuss new treatments in development to have a better understanding of the future of recovery.
nintendo_fan_club	Nintendo Fan Club	Public	 MedHelp General 	19	This is a group specifically created for all Nintendo Fans to get together and chat about games for any Nintendo Gaming System. You may talk about anything Nintendo here, including but not limited to new game releases, gaming systems, game characters, etc. Anyone who is a Nintendo Fan is welcome to join this group. :)
nervous_ticks	nervous ticks	Public	 Pain 	1	if you have nervous ticks you cant control that happen randomly.
nervous_breakdown___at_the_limit	Nervous breakdown - at the limit	Public	 MedHelp General 	2	A place to talk with other that feel the same
nursing_home_medicaid_in_florida_	Nursing Home Medicaid in FLORIDA 	Public	 MedHelp General 	1	I would love to help anyone needing help with a nursing home Medicaid application
no_insurance__no_medicare__no_medicaid	No Insurance, No Medicare, No Medicaid	Public	 Senior Health 	8	People that are falling in the crack of having no way to get medical services because they fail to qualify for the government programs but cannot afford the outrageous insurance required to get medical help.
non12steprecovery	non-twelve step recovery	Public	 Addiction 	35	This group is for people recovering from addiction or dependency who are seeking an alternative approach to AA / NA groups.  Here I hope to discuss cognitive behavioral therapy, Smart recovery principles, exercise and diet.
necrobiosis_lipoidica_diabeticorum	Necrobiosis Lipoidica Diabeticorum	Public	 MedHelp General 	12	NL(D) is a problem that has afflicted many recently and I ask researchers and physicians to get interested in this group here sothat a possible cure can be found.  I run another group with over 700 members involved and all with one form of NLD or another.  We are all so different and come from all over the world.  So this group here is to provide awareness of Necrobiosis Lipoidica Diabeticorum and ask professionals who may have interest in this subject to get involved.  This is a short definition of this group and if you want to know more about NL(D), just google the above group's name in any search engine.  So please join me in getting more awareness and a possible cure for this skin affliction.  I have had NL(D) for over 32 years and was the first patient to be diagnosed with this problem over 30 years ago at Mayo Clinic!  Hopefully this group will make a difference!  Awareness is important.You will need to send a reason for wanting to join as I approve all new members.
native_american_canadian_healing_circle	Native American/Canadian Healing Circle	Public	 MedHelp General 	1	This is a forum that is intended to talk about Native healing, beliefs and other "issues".  You don't have to know much about Native people to and you don't have to be Native to join.
neck_nerves_compression	Neck Nerves Compression	Public	 MedHelp General 	7	Some years ago I inquired at this site to help solve a nerve compression problem in my upper neck. The result was that I have a solveable condition for which there is no known surgeon. It is difficult enough to drive 10 hours for a doctor's appointment and be confronted by apathy, terror, and quite possibly ignorance. I say the last item because I am told that my condition is no longer being taught by the medical community. I am at a loss to know where to go next and I am looking for guidance. I have used the category of 'other' because this problem is in-between the professions of ENT, Neurosurgery, Vascular Surgery, and Spinal Surgery.
new_members_group	New Members Group	Public	 General Health 	8	This group is for us newbies. It is an opportunity to meet friends and ask questions about the website. Newbies Unite!!
neutropenia___autoimmune_in_children	Neutropenia / Autoimmune in children	Public	 Autoimmune 	3	What is neutropenia?"Neutropenia" is a condition in which the number of neutrophils in the bloodstream is decreased. Neutrophils are a type of white blood cell also known as polymorphonuclear leukocytes or PMNs. Neutropenia affects the body's ability to fight off infections. Share your stories regarding this sometimes difficult diagnosis in children.  Many primary doctors are baffled by the range of onset symptoms in children. Let's see if we can work together to help raise awareness and find safe cures.
norsk_helseforum_	Norsk Helseforum 	Public	 Healthy Living 	10	Vi har laget en norsk undergruppe hvor alt innen helse kan diskuteres, alt fra vondt i hodet, vondt i ryggen, diabetes, dagligdagse problemer og lignende. Men at vi kan spÃ¸rre og svare pÃ¥ norsk hvertfall.
no_more_mirena_	No More Mirena!	Public	 Women's Health 	10	This is a place to vent your concerns and issues with the IUD Mirena. Please, this forum is for those who did not or do not have a pleasant experience with this product.
natural_healing	Natural Healing	Public	 Alternative Medicine 	3	Please delete board.
natural_living_and_parenting_young_babies_and_children	Natural Living and Parenting young babies and children	Public	 Healthy Living 	1	Our group focuses on natural living with babies and young children. Learn all about home birthing, VBAC, natural cures, cloth dipaering,baby wearing, breastfeeding, co-sleeping, non-vaxing, ECing, making your own baby food, learing how to coupon, unschooling, and cleaning and natural ways of living. I am a mother of 4 children ages 6 months to 13 who never thought as myself as a hippie mama but I have proved myself to be just that. Be yourself and with others like you or just come learn about how we live.
november_2011_babies	November 2011 Babies	Public	 Pregnancy 	23	Thankful For Our Nov Blessings!
new_methadone_community__2011	NEW METHADONE COMMUNITY; 2011	Public	 Addiction 	54	This is a new Methadone group starting in March;2011. This is a group for anyone currently on Methadone, looking to start Methadone,getting off Methadone or just in need of an answer about Methadone. If you currently have an addiction to another drug, please stay. Addiction is a lonely place and everyone is here for the same reason. We need someone to talk to. Please be kind and respect each others feelings. Please feel free to talk about everyday life or something important that is going on. If you need help please ask. If you do not get an answer, please go to  "Marebear74" and try there. This is my username and my MedHelp site. I am always here to listen to anything you need to talk about. Best Wishes To You!!!!
no_reason_for_inflammatio	No reason for inflammatio	Public	 MedHelp General 	1	Let us come forward to discuss the issue when reason for inflammation like high ESR and high CRP,blood in urine, joint pains,stiffness in body has not been diagnosed for any reason.Headache on frontal temporal with nerves poping up have not been found any reason, doctors came out with explaination that they can not do any thing , only DICLFENAC SODIUM advised. I dont think that this is the responsible reply of doctors in Canada. hundred of errors and careless in reading reports
neuroendocrine_tumors_cancer	Neuroendocrine tumors/cancer	Public	 Cancer 	4	Neuroendocrine tumors/cancer, carcinoids, MEN1, MEN2, neoplasms of the endocrine system. Hopefully those of us who have these conditions can find each other!
nursing_stidies_in_abroad	Nursing stidies in abroad	Public	 Diabetes 	1	The community of the student who is studying or wants to become International medical graduates .
